Perkataan,Pecahan Suku Kata
ala,a-la
bayang,ba-yang
bintang,bin-tang
dendang,den-dang
gunong,gu-nong
kronchong,kron-chong
masak,ma-sak
meritzkey',me-rit-zkey
pandan',pan-dan
pulau,pu-lau
weltevreden',wel-tev-re-den
AI,eh-ai
abadi,a-ba-di
abai,a-bai
abaikan,a-bai-kan
abang,a-bang
abu-nya,a-bu-nya
acan,a-can
acheh,a-cheh
acheh-acheh,a-cheh-a-cheh
acuan,a-cu-an
ada,a-da
adab,a-dab
adabnya,a-dab-nya
adakah,a-da-kah
adat,a-dat
adek,a-dek
adik-beradik,a-dik-be-ra-dik
adlia,ad lia
aduan,a-du-an
aduh-mengaduh,a-duh-me-nga-duh
aduhai,a-du-hai
agak,a-gak
agam,a-gam
agama,a-ga-ma
agar,a-gar
agent,a-gent
ai,a i
aib,a-ib
aidil,ai-dil
aidilfitri,ai-dil-fit-ri
air,a-ir
airan,a-i-ran
airmatanya,a-ir-ma-ta-nya
airnya,a-ir-nya
ajak,a-jak
ajar,a-jar
akal,a-kal
akan,a-kan
akar,a-kar
akasia,a-ka-si-a
akhir,a-khir
akhirat,a-khi-rat
akidah,a-ki-dah
aku,a-ku
akuan,a-ku-an
akuatik,a-kua-tik
al-baari,al-baa-ri
al-lala',al-la-la
alah,a-lah
alahai,a-la-hai
alam,a-lam
alami,a-la-mi
alang,a-lang
alang-alang,a-lang-a-lang
alas-alas-nya,a-las-a-las-nya
alergi,a-ler-gi
alexandra,a-le-xand-ra
alif,a-lif
alih,a-lih
alir,a-lir
alku-nya,al-ku-nya
allah,al-lah
alpa,al-pa
aluan,a-lu-an
alunan,a-lu-nan
amalan,a-ma-lan
aman,a-man
amanah,a-ma-nah
amanat,a-ma-nat
amat,a-mat
ambang,am-bang
ambil,am-bil
ambilkan,am-bil-kan
ambin,am-bin
amboi,am-boi
ampai,am-pai
ampaian,am-pai-an
ampat,am-pat
ampuan,am-pu-an
ampunan,am-pu-nan
an,an
anai-anai,a-nai-a-nai
anak,a-nak
anak-anak,a-nak-a-nak
anak-beranak,a-nak-be-ra-nak
anam,a-nam
ancaman,an-ca-man
anda,an-da
andai,an-dai
nya,an-dai-nya
anduk,an-duk
aneka,a-ne-ka
anggai,ang-gai
anggar,ang-gar
anggota,ang-go-ta
